exp_UID,plot_UID,gen_id,genotype_name,lot,range_lot,row_lot,plot,plant_id,plant_UID,set
FPWW034,FPWW0340113,473,PIZNAIR,1,6,7,113,8,FPWW0340113_8,SFE
FPWW034,FPWW0340113,473,PIZNAIR,1,6,7,113,9,FPWW0340113_9,SFE
FPWW034,FPWW0340113,473,PIZNAIR,1,6,7,113,10,FPWW0340113_10,SFE
FPWW034,FPWW0340140,544,AXEN,1,6,8,140,1,FPWW0340140_1,SFE
FPWW034,FPWW0340140,544,AXEN,1,6,8,140,2,FPWW0340140_2,SFE
FPWW034,FPWW0340140,544,AXEN,1,6,8,140,3,FPWW0340140_3,SFE
FPWW034,FPWW0340140,544,AXEN,1,6,8,140,4,FPWW0340140_4,SFE
FPWW034,FPWW0340140,544,AXEN,1,6,8,140,5,FPWW0340140_5,SFE
FPWW034,FPWW0340140,544,AXEN,1,6,8,140,6,FPWW0340140_6,SFE
FPWW034,FPWW0340140,544,AXEN,1,6,8,140,7,FPWW0340140_7,SFE
FPWW034,FPWW0340140,544,AXEN,1,6,8,140,8,FPWW0340140_8,SFE
FPWW034,FPWW0340140,544,AXEN,1,6,8,140,9,FPWW0340140_9,SFE
FPWW034,FPWW0340140,544,AXEN,1,6,8,140,10,FPWW0340140_10,SFE
FPWW034,FPWW0340149,17,TITLIS,1,6,9,149,1,FPWW0340149_1,SFH
FPWW034,FPWW0340149,17,TITLIS,1,6,9,149,2,FPWW0340149_2,SFH
FPWW034,FPWW0340149,17,TITLIS,1,6,9,149,3,FPWW0340149_3,SFH
FPWW034,FPWW0340149,17,TITLIS,1,6,9,149,4,FPWW0340149_4,SFH
FPWW034,FPWW0340149,17,TITLIS,1,6,9,149,5,FPWW0340149_5,SFH
FPWW034,FPWW0340149,17,TITLIS,1,6,9,149,6,FPWW0340149_6,SFH
FPWW034,FPWW0340149,17,TITLIS,1,6,9,149,7,FPWW0340149_7,SFH
FPWW034,FPWW0340149,17,TITLIS,1,6,9,149,8,FPWW0340149_8,SFH
FPWW034,FPWW0340149,17,TITLIS,1,6,9,149,9,FPWW0340149_9,SFH
FPWW034,FPWW0340149,17,TITLIS,1,6,9,149,10,FPWW0340149_10,SFH
FPWW034,FPWW0340176,136,JULIUS,1,6,10,176,1,FPWW0340176_1,SFH
FPWW034,FPWW0340176,136,JULIUS,1,6,10,176,2,FPWW0340176_2,SFH
FPWW034,FPWW0340176,136,JULIUS,1,6,10,176,3,FPWW0340176_3,SFH
FPWW034,FPWW0340176,136,JULIUS,1,6,10,176,4,FPWW0340176_4,SFH
FPWW034,FPWW0340176,136,JULIUS,1,6,10,176,5,FPWW0340176_5,SFH
FPWW034,FPWW0340176,136,JULIUS,1,6,10,176,6,FPWW0340176_6,SFH
FPWW034,FPWW0340176,136,JULIUS,1,6,10,176,7,FPWW0340176_7,SFH
FPWW034,FPWW0340176,136,JULIUS,1,6,10,176,8,FPWW0340176_8,SFH
FPWW034,FPWW0340176,136,JULIUS,1,6,10,176,9,FPWW0340176_9,SFH
FPWW034,FPWW0340176,136,JULIUS,1,6,10,176,10,FPWW0340176_10,SFH
FPWW034,FPWW0340103,452,MONTALBANO,1,7,6,103,1,FPWW0340103_1,SFE
FPWW034,FPWW0340103,452,MONTALBANO,1,7,6,103,2,FPWW0340103_2,SFE
FPWW034,FPWW0340103,452,MONTALBANO,1,7,6,103,3,FPWW0340103_3,SFE
FPWW034,FPWW0340103,452,MONTALBANO,1,7,6,103,4,FPWW0340103_4,SFE
FPWW034,FPWW0340103,452,MONTALBANO,1,7,6,103,5,FPWW0340103_5,SFE
FPWW034,FPWW0340103,452,MONTALBANO,1,7,6,103,6,FPWW0340103_6,SFE
FPWW034,FPWW0340103,452,MONTALBANO,1,7,6,103,7,FPWW0340103_7,SFE
FPWW034,FPWW0340103,452,MONTALBANO,1,7,6,103,8,FPWW0340103_8,SFE
FPWW034,FPWW0340103,452,MONTALBANO,1,7,6,103,9,FPWW0340103_9,SFE
FPWW034,FPWW0340103,452,MONTALBANO,1,7,6,103,10,FPWW0340103_10,SFE
FPWW034,FPWW0340114,590,Tenor,1,7,7,114,1,FPWW0340114_1,SFE
FPWW034,FPWW0340114,590,Tenor,1,7,7,114,2,FPWW0340114_2,SFE
FPWW034,FPWW0340114,590,Tenor,1,7,7,114,3,FPWW0340114_3,SFE
FPWW034,FPWW0340114,590,Tenor,1,7,7,114,4,FPWW0340114_4,SFE
FPWW034,FPWW0340114,590,Tenor,1,7,7,114,5,FPWW0340114_5,SFE
FPWW034,FPWW0340114,590,Tenor,1,7,7,114,6,FPWW0340114_6,SFE
FPWW034,FPWW0340114,590,Tenor,1,7,7,114,7,FPWW0340114_7,SFE
FPWW034,FPWW0340114,590,Tenor,1,7,7,114,8,FPWW0340114_8,SFE
FPWW034,FPWW0340114,590,Tenor,1,7,7,114,9,FPWW0340114_9,SFE
FPWW034,FPWW0340114,590,Tenor,1,7,7,114,10,FPWW0340114_10,SFE
